id,title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6944,Left & Right,D'Angelo Featuring Method Man And Redman,41,0.838,0.405,1,-9.684,1,0.644,0.235,0.0,0.38299999999999995,0.843,92.115
6945,Gotta Man,Eve,42,0.7959999999999999,0.871,5,-4.135,0,0.127,0.14800000000000002,0.000199,0.113,0.903,90.49600000000001
6946,Steam,Ty Herndon,52,0.35200000000000004,0.18600000000000003,1,-11.568,1,0.0346,0.871,1.14e-06,0.13,0.21600000000000003,87.919
6947,NAStradamus,Nas,44,0.823,0.62,8,-8.002,1,0.32899999999999996,0.000484,0.0,0.494,0.628,90.57
6948,She's So High,Tal Bachman,71,0.537,0.84,9,-4.626,1,0.0363,0.2,2.15e-06,0.0998,0.21100000000000002,124.26899999999999
6949,Something Like That,Tim McGraw,59,0.507,0.85,5,-5.678999999999999,1,0.0472,0.37799999999999995,0.0,0.0567,0.847,171.8
6950,Come On Over,Shania Twain,66,0.6779999999999999,0.899,10,-2.937,1,0.048,0.637,0.0,0.34700000000000003,0.757,124.944
6951,I Want It All,Warren G Featuring Mack 10,61,0.643,0.961,0,-5.297999999999999,1,0.0315,0.0196,0.0,0.948,0.96,124.027
6952,Genie In A Bottle,Christina Aguilera,66,0.627,0.8,1,-6.945,1,0.162,0.21,0.000123,0.13699999999999998,0.912,175.815
6953,Scar Tissue,Red Hot Chili Peppers,76,0.595,0.7170000000000001,0,-4.803,1,0.0295,0.0779,0.00274,0.10800000000000001,0.547,88.969
6954,I Do (Cherish You),98 Degrees,53,0.5870000000000001,0.44799999999999995,6,-8.075,1,0.024,0.62,0.0,0.0923,0.287,82.91799999999999
6955,She's All I Ever Had,Ricky Martin,46,0.39299999999999996,0.765,11,-5.9239999999999995,1,0.0481,0.0172,0.0,0.22699999999999998,0.27399999999999997,81.08800000000001
6956,The Dolphin's Cry,Live,49,0.342,0.797,5,-5.9479999999999995,0,0.0407,0.00042699999999999997,1.3699999999999998e-05,0.161,0.37200000000000005,149.773
6957,What Do You Say To That,George Strait,0,0.48200000000000004,0.34700000000000003,7,-14.752,1,0.0293,0.256,0.0,0.153,0.436,142.989
6958,If I Could Turn Back The Hands Of Time,R. Kelly,52,0.505,0.41100000000000003,8,-8.273,1,0.0255,0.677,1.23e-05,0.0605,0.124,80.94800000000001
6959,All Star,Smash Mouth,76,0.731,0.861,11,-5.881,1,0.0323,0.0319,0.0,0.0829,0.78,104.03399999999999
6960,I'm Already Taken,Steve Wariner,25,0.377,0.19399999999999998,7,-12.026,1,0.0316,0.861,5.01e-06,0.124,0.528,130.563
6961,Beauty,Dru Hill,78,0.54,0.561,0,-6.987,0,0.0699,0.0635,0.0,0.13699999999999998,0.107,113.295
6962,American Woman,Lenny Kravitz,64,0.55,0.726,2,-8.51,1,0.0516,0.146,0.0060799999999999995,0.428,0.37,92.697
6963,I'll Go Crazy,Andy Griggs,41,0.528,0.809,0,-5.934,1,0.0294,0.0123,1.99e-06,0.0885,0.36200000000000004,103.025
6964,A Man Ain't Made Of Stone,Randy Travis,19,0.48100000000000004,0.502,8,-8.382,1,0.027999999999999997,0.0459,5.67e-06,0.11199999999999999,0.266,138.626
6965,B-Please,Snoop Dogg Featuring Xzibit & Nate Dogg,35,0.759,0.645,1,-6.585,1,0.0618,0.0288,0.000303,0.18,0.639,130.046
6966,Lonely And Gone,Montgomery Gentry,43,0.531,0.696,4,-6.729,1,0.0258,0.15,0.00016,0.36,0.488,163.912
6967,Spend My Life With You,Eric Benet Featuring Tamia,61,0.583,0.435,8,-8.783999999999999,1,0.0386,0.434,5.489999999999999e-05,0.102,0.292,72.01
6968,Vivrant Thing,Q-Tip,55,0.914,0.698,9,-8.619,1,0.0541,0.0063100000000000005,0.000295,0.0575,0.613,99.03399999999999
6969,Angels Would Fall,Melissa Etheridge,23,0.326,0.779,7,-4.343,0,0.0331,0.163,1.93e-05,0.0917,0.75,186.842
6970,What's My Age Again?,Blink-182,72,0.40299999999999997,0.956,6,-7.376,1,0.0732,0.017,7.09e-05,0.0893,0.561,157.70600000000002
6971,So Anxious,Ginuwine,61,0.733,0.395,6,-11.959000000000001,0,0.0366,0.27899999999999997,2.37e-06,0.46799999999999997,0.6609999999999999,96.085
